"inq_last_6mths","pub_rec","revol_bal","dti","home_ownership"
0,0,474,10.43,"RENT"
1,0,41023,15.73,"RENT"
0,0,16683,12.37,"RENT"
2,0,15080,19.64,"MORTGAGE"
0,2,17747,14.06,"MORTGAGE"
4,0,84447,39.16,"RENT"
1,0,6489,13.79,"RENT"
0,0,46750,9.09,"MORTGAGE"
0,1,2695,21.23,"RENT"
0,0,14157,23.14,"RENT"
0,0,5424,5.06,"OTHER"
0,0,6013,35.25,"MORTGAGE"
1,1,9243,19.18,"MORTGAGE"
0,2,4885,17.3,"MORTGAGE"
2,0,14147,1.98,"MORTGAGE"
1,0,27096,14.92,"MORTGAGE"
0,0,1000,29.18,"OWN"
0,0,7720,18.19,"MORTGAGE"
1,0,5695,14.24,"RENT"
1,0,38483,21.35,"MORTGAGE"
0,1,9229,8.34,"MORTGAGE"
0,0,17272,16.69,"MORTGAGE"
2,0,5749,16.78,"MORTGAGE"
1,0,3583,29.74,"MORTGAGE"
0,0,20860,19.08,"MORTGAGE"
0,0,9762,14.6,"MORTGAGE"
0,0,5848,31.34,"MORTGAGE"
2,0,2967,21.05,"MORTGAGE"
0,0,8142,25.54,"RENT"
0,0,12186,23.08,"RENT"
0,0,18987,14.83,"RENT"
1,0,16167,21.02,"RENT"
0,0,8262,15.08,"MORTGAGE"
1,0,10997,5.17,"MORTGAGE"
2,0,16805,9.44,"MORTGAGE"
0,0,40380,29.66,"MORTGAGE"
0,0,29225,30.28,"RENT"
2,0,11993,31.8,"MORTGAGE"
1,1,5423,10.72,"MORTGAGE"
0,0,18905,16.59,"OWN"
2,0,34640,28.51,"RENT"
1,1,9849,15.39,"MORTGAGE"
2,0,13683,19.01,"OWN"
0,0,7453,26.2,"RENT"
0,0,10054,10.95,"RENT"
0,0,11501,24.08,"RENT"
0,0,3924,36.08,"OWN"
1,0,10374,14.61,"MORTGAGE"
0,0,15264,21.92,"MORTGAGE"
1,0,18659,8.8,"RENT"
1,0,9813,17.17,"RENT"
2,0,27437,29.61,"MORTGAGE"
0,0,2205,23.45,"MORTGAGE"
1,1,11201,11.93,"RENT"
1,0,10971,22.31,"RENT"
0,0,10772,10.73,"RENT"
0,0,32118,29.69,"OWN"
1,0,4723,4.71,"RENT"
1,0,19821,10.76,"MORTGAGE"
0,0,32477,20.02,"MORTGAGE"
0,0,3922,12.36,"OWN"
0,0,15640,14.4,"MORTGAGE"
0,0,49836,10.73,"RENT"
2,0,11594,25.08,"MORTGAGE"
1,0,22854,37.78,"MORTGAGE"
1,0,39185,32.18,"RENT"
1,0,7425,31.69,"MORTGAGE"
0,0,70881,8.91,"OWN"
2,0,10653,6.54,"RENT"
0,0,146428,21.31,"MORTGAGE"
1,0,4532,11.08,"RENT"
0,0,32253,30.63,"RENT"
0,2,7972,24.22,"MORTGAGE"
1,0,6950,6.64,"RENT"
0,2,9661,25.8,"MORTGAGE"
1,0,5852,12.6,"RENT"
0,0,6323,24.37,"RENT"
1,0,4525,16.42,"RENT"
0,0,16195,22.22,"RENT"
