"inq_last_6mths","pub_rec","revol_bal","dti","home_ownership"
0,0,474,10.43,"RENT"
1,0,41023,15.73," "
0,0,NA,12.37,"RENT"
2,0,15080,NA,"MORTGAGE"
0,2,NA,14.06,"MORTGAGE"
4,0,84447,NA,"RENT"
NA,0,NA,NA,NA
0,0,46750,NA,"MORTGAGE"
0,1,NA,NA,"RENT"
0,0,14157,NA," "
0,0,NA,5.06,"n/a"
0,0,6013,35.25," "
1,1,9243,19.18,"MORTGAGE"
NA,2,NA,17.3,""
2,0,14147,NA," "
1,0,27096,14.92,"MORTGAGE"
0,0,1000,NA,"OWN"
0,0,7720,NA,"MORTGAGE"
1,0,5695,14.24,"RENT"
NA,0,38483,21.35,"MORTGAGE"
NA,1,9229,8.34,"MORTGAGE"
0,0,17272,16.69,"MORTGAGE"
2,0,NA,NA,"MORTGAGE"
1,0,3583,29.74,"MORTGAGE"
0,0,20860,NA," "
NA,0,9762,14.6,"MORTGAGE"
NA,NA,5848,31.34,"MORTGAGE"
2,NA,2967,NA,"MORTGAGE"
NA,0,8142,NA,"RENT"
0,0,12186,23.08,"RENT"
0,0,18987,NA,"RENT"
NA,0,16167,21.02,"RENT"
0,0,8262,15.08,NA
1,0,10997,NA,"MORTGAGE"
2,0,NA,9.44,"MORTGAGE"
NA,0,40380,NA,"MORTGAGE"
0,0,29225,30.28,"RENT"
2,NA,11993,31.8,"MORTGAGE"
1,NA,5423,NA,"MORTGAGE"
0,0,NA,NA,"OWN"
2,0,34640,28.51,"RENT"
1,1,9849,15.39,"n/a"
2,0,13683,19.01,"n/a"
0,NA,7453,NA," "
0,0,NA,NA,"n/a"
0,NA,11501,24.08," "
0,0,3924,36.08,NA
1,0,10374,14.61,"MORTGAGE"
0,0,15264,21.92,"MORTGAGE"
1,0,18659,8.8,"RENT"
1,0,NA,NA,"RENT"
2,0,27437,29.61,"MORTGAGE"
0,0,2205,23.45,"MORTGAGE"
1,1,NA,11.93,"RENT"
1,0,10971,NA," "
NA,0,NA,10.73,"RENT"
0,0,32118,29.69,"OWN"
1,0,4723,4.71,"RENT"
1,0,19821,NA,"MORTGAGE"
0,0,32477,20.02,"MORTGAGE"
0,0,3922,12.36,"n/a"
0,0,15640,14.4,"MORTGAGE"
NA,0,NA,NA,"n/a"
2,0,11594,25.08," "
NA,0,NA,37.78,"MORTGAGE"
1,NA,39185,32.18,"RENT"
1,0,NA,31.69,"MORTGAGE"
0,NA,70881,8.91,"OWN"
2,0,10653,NA,"RENT"
0,0,146428,21.31,""
1,0,4532,NA,"RENT"
0,0,NA,30.63,"RENT"
0,2,7972,NA,"MORTGAGE"
1,0,6950,6.64,"RENT"
0,2,9661,NA,"MORTGAGE"
1,0,5852,12.6,"RENT"
NA,0,NA,24.37,"RENT"
NA,0,4525,16.42,"RENT"
0,0,16195,22.22,"RENT"
0,0,9649,NA,"MORTGAGE"
3,0,27294,NA,"MORTGAGE"
2,0,17187,NA,"MORTGAGE"
0,0,NA,24.45,"MORTGAGE"
2,0,31321,22.79,NA
0,NA,16599,13.09,"MORTGAGE"
0,0,11010,7.06,"OWN"
NA,0,819,16.15," "
0,0,6149,NA," "
0,0,18572,NA,"RENT"
1,1,NA,16.75,"RENT"
0,0,13483,18.67,"RENT"
1,0,33327,NA," "
NA,0,4007,12.82,"n/a"
3,0,3621,39.89," "
1,0,485,NA,"RENT"
0,0,17080,21.12," "
NA,0,NA,30.68,"RENT"
NA,0,9772,NA,"RENT"
3,NA,21918,23.15,"RENT"
0,0,7479,15.31,"MORTGAGE"
1,0,11818,13.74,"RENT"
NA,0,9658,14.91,"MORTGAGE"
1,0,22532,11.86,"MORTGAGE"
NA,0,28988,NA,NA
0,0,28981,11.13,"MORTGAGE"
0,NA,2408,12.81,NA
0,0,35345,20.93,"MORTGAGE"
1,0,NA,2.85,"n/a"
0,0,10601,17.13," "
NA,0,24292,10.72,"MORTGAGE"
0,0,3963,2.71," "
NA,0,11212,13.47,"RENT"
0,0,16657,NA,"MORTGAGE"
2,1,3602,34.73,"RENT"
NA,0,41777,NA,"RENT"
1,NA,NA,16.56,"RENT"
1,0,NA,23.85,"RENT"
NA,NA,8076,NA," "
NA,1,NA,28.5,"MORTGAGE"
1,0,4013,19.8,"n/a"
NA,0,4205,3.89," "
0,0,31772,26.13,""
1,0,NA,39.57,"RENT"
NA,0,14599,NA,"MORTGAGE"
0,1,NA,16.35," "
0,0,53221,16.14,""
1,0,NA,NA,"RENT"
1,0,7590,2.88," "
0,1,2933,NA,"RENT"
NA,0,8862,NA,"MORTGAGE"
NA,1,25710,14.54,"MORTGAGE"
0,NA,NA,32.62,"RENT"
0,0,15436,13.76,"RENT"
0,0,4586,14.35," "
0,0,NA,NA," "
2,1,NA,17.42," "
2,0,3126,12.27,"RENT"
NA,0,38676,26.97,"RENT"
1,0,46846,15.39,"n/a"
0,0,4039,28.98,"RENT"
NA,0,10759,NA,"RENT"
NA,2,664,6.84,"MORTGAGE"
0,0,26154,NA,"MORTGAGE"
1,0,9786,28.05,"MORTGAGE"
NA,0,13307,34.37,"RENT"
0,0,2462,NA," "
1,0,NA,30.42," "
1,0,8924,19.09,"OWN"
0,0,NA,NA,"RENT"
NA,0,1194,8.15,"RENT"
0,NA,14595,15.55,"RENT"
0,1,14142,31.21,"MORTGAGE"
0,0,33784,16.8," "
0,0,19733,13.81,"RENT"
1,1,17559,11.25,"n/a"
1,0,13440,NA,"RENT"
0,0,NA,NA,"MORTGAGE"
0,0,29210,25.13,"MORTGAGE"
1,0,NA,NA,"n/a"
2,2,11724,29.81,"RENT"
1,0,7915,12.84,"RENT"
NA,0,NA,25.24,"MORTGAGE"
0,0,33863,31.41,"MORTGAGE"
2,0,19816,33.35,""
0,1,14976,5.91,"MORTGAGE"
0,0,2185,4.23,"RENT"
1,0,NA,NA,"RENT"
NA,1,12513,11.75,"MORTGAGE"
NA,0,7347,NA,"n/a"
1,0,NA,NA,"RENT"
0,0,NA,23.85,"MORTGAGE"
0,0,5360,24.32,"RENT"
3,0,40136,18.17,"MORTGAGE"
0,0,NA,27.56," "
NA,0,53795,10.29,"n/a"
4,0,3580,22.29,NA
3,0,20817,NA,"MORTGAGE"
0,0,NA,23.43,"MORTGAGE"
